GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
max-profit-calculator,com.maxprofit.calculator.controller,CalculatorController,12,54,3,1,2,14,2,3,0,3
max-profit-calculator,com.maxprofit.calculator.controller,RateLimitFilter,17,69,6,8,2,20,4,8,0,5
max-profit-calculator,com.maxprofit.calculator.controller,CalculationRequest,0,31,0,0,0,13,0,9,0,9
max-profit-calculator,com.maxprofit.calculator.controller,RateLimitProperties,0,27,0,0,0,3,0,5,0,5
max-profit-calculator,com.maxprofit.calculator.controller,RateLimitFilterConfig,0,8,0,0,0,2,0,2,0,2
max-profit-calculator,com.maxprofit.calculator.controller,RateLimiterService,0,55,0,2,0,14,0,5,0,4
max-profit-calculator,com.maxprofit.calculator.controller,GlobalExceptionHandler,0,32,0,0,0,8,0,3,0,3
max-profit-calculator,com.maxprofit.calculator.controller,CorsProperties,0,9,0,0,0,2,0,2,0,2
max-profit-calculator,com.maxprofit.calculator,CalculationResult,0,59,0,0,0,21,0,8,0,8
max-profit-calculator,com.maxprofit.calculator,MaxProfitCalculatorApplication,5,3,0,0,2,1,1,1,1,1
max-profit-calculator,com.maxprofit.calculator,OpenApiConfig,33,0,0,0,12,0,2,0,2,0
max-profit-calculator,com.maxprofit.calculator,WebConfig,0,51,0,0,0,9,0,2,0,2
max-profit-calculator,com.maxprofit.calculator,CompanyNameGenerator,0,25,0,2,0,5,0,3,0,2
max-profit-calculator,com.maxprofit.calculator,Stock,0,343,3,49,0,54,3,28,0,5
